username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Darius Phelps,1129791470,"Manhattan, NY",2023-01-23 01:14:52,"On behalf of @EceaNcte and #ELATEGS, we stand in solidarity with the #AAPI community, families, friends, educators,… https://t.co/eBPgDdJ6SD",1,Twitter Web App,
New York State Young Republicans,47322953,New York,2023-01-23 00:45:51,"Our communities cannot be expected to make more sacrifices — from New York to California, elected leaders must make… https://t.co/774idhZep9",2,Twitter for iPhone,
Jo Anne Simon 文雅麗,2275218805,"Brooklyn, NY",2023-01-23 00:31:31,"Thanks to the NRA and its GOP enablers, sensible gun laws are rejected and law abiding people everywhere are terror… https://t.co/NuDunw9fgA",0,Twitter Web App,
Emily Chen // 심진미,20450591,"new york city, ny",2023-01-22 22:59:28,when people say that asian-target hate crimes aren't real or i should be worried - read the below quote:… https://t.co/vKHd8WeDBf,0,Twitter for iPhone,
lennysprinter2.0,1192988528872972289,"Manhattan, NY",2023-01-22 22:45:56,"🥡 🥢 In honor of our Asian brothers and sisters today….I will be ordering Chinese …Wok Grilled Ginger Shrimp, Mandar… https://t.co/hpCSD5TXRZ",0,Twitter for iPhone,
"Sabrina Cluesman, MSW, LCSW",34017822,"New York, NY",2023-01-22 22:36:44,"Absolutely devastating news this New Years weekend. Thinking of my Chinese, and all of my Asian friends and colleag… https://t.co/eAbJ7dW72x",0,Twitter for iPhone,
ILoveMyWifeAlways,587926686,Bronx,2023-01-22 21:38:12,I saw #StopAsianHate trend earlier and is was only trending because these #Racist #Asians really wanted to blame a… https://t.co/8yI6For9Ag,6,Twitter for Android,
Shan,18443655,"Brooklyn, NY",2023-01-22 21:31:28,"@gabbycazeau My heart is with you, Gabby. It's heartbreaking to witness the devastating effects of gun violence and… https://t.co/ZjzMSABC3L",0,Twitter for iPhone,
Popeyee Pete 🇺🇦,1582072645910249499,New York,2023-01-22 21:23:27,"@amuse @LaceyBanis Don't you realise , that all of you white bearded fat MAGA supporters of the soul reason why sho… https://t.co/R2TWerqqy9",0,Twitter Web App,
Kai Chambers-Lowenstein,1404608760732082183,"Brooklyn, NY",2023-01-22 20:51:09,If you don’t think I’m beautiful then you are a bigot #TransRightsAreHumanRights #BLM #StopAsianHate,0,Twitter for iPhone,
Freddy Lent,189287622,"Yonkers, N.Y. ",2023-01-22 20:31:16,"And the #StopAsianHate hashtag goes right down the drain! 

https://t.co/YZFyoSvq9I",0,Twitter for Android,
Liz❤Bernie2024🌎🕊,15592409,"New York, USA",2023-01-22 19:16:03,"Happy #ChineseNewYear2023🎉  #YearOfTheRabbit🐇🐰 
So if you're single, go out and mingle!💃🕺
Make love not war❤️🕊️… https://t.co/JiEz05iPaz",0,Twitter Web App,
Ariel₇ 🚌👅𖣘,21237567,NYC,2023-01-22 16:21:22,Praying for those who were affected by the mass shooting at Monterey Park  on a day that should be filled with love… https://t.co/BTveR7FOlH,0,Twitter for iPhone,
Brooke,47136323,"Brooklyn, NY",2023-01-22 15:53:35,"Sending all of the love to those grieving in California rn, as well as Asian Americans &amp; Pacific Islanders across t… https://t.co/ay1yKkwOuu",0,Twitter for iPhone,
Amnesty International USA,16153562,New York,2023-01-22 15:44:00,"We must end racism.  
We must end gun violence. 
We must end white supremacy. 
#StopAsianHate https://t.co/kfiPgN9s6r",207,Sprout Social,
Jigme Wangchuk,1190716016113913856,"New York, NY",2023-01-22 15:14:40,I hope the threat to Asian society is seen as uniformly as a concern of pronouns uses for the LGBTQ community.… https://t.co/LSxAWTejNA,0,Twitter for iPhone,
KatiePhotog,1516542514710421520,"New York, New York",2023-01-22 15:02:20,"Photographed this Stop Asian Hate sticker in Flushing yesterday, a simple reminder. 

#StopAsianHate #LunarNewYear… https://t.co/nwfNPuJrIo",0,Twitter Web App,
Spectrum News NY1,43425975,New York City,2023-01-22 15:00:01,"Today on #InFocusNY1, @CherylWills rings in #LunarNewYear with @CMLindaLee, @CMJulieWon, @CMSandraUng and… https://t.co/MnB6noNaXz",5,Twitter Media Studio,
Eric Manigian,3131475923,New York,2023-01-22 14:59:39,@Out5p0ken #StopAsianHate  White Supremacy is Domestic Terrorism. https://t.co/yrroER6QDc,0,Twitter for iPhone,
Chung Seto 司徒仲菁🌻,247469623,New York,2023-01-22 14:33:45,Gutted. Heartbroken. Anger at the sickening news that 10 people are dead and 10 are wounded after a mass shooting a… https://t.co/2uBFzi0GVA,3,Twitter for iPhone,
Philly girl♈,550233837,New York,2023-01-22 14:26:11,We must stand in unison with our Asian communities. Today should be filled with happiness but yet another act of vi… https://t.co/9x9blY5lAX,0,Twitter Web App,
Yvonne Yorke,2830951063,New York,2023-01-22 12:51:47,@helenwan1 Utterly horrifying. #StopAsianHate,0,Twitter Web App,
Helen Wan,169172256,NYC,2023-01-22 12:02:58,"This horrifying news, and every headline like it, breaks my heart. At least 10 people killed at a Lunar New Year ce… https://t.co/wLDQqYWUr3",10,Twitter Web App,
WilliamTheShuai,1200668594004283392,"Jersey City, NJ",2023-01-20 15:16:14,"#StopAsianHate He just came to Liverpool today after more than 10 hours travel, and this is what happened to him be… https://t.co/V5otMTV59R",0,Twitter for iPhone,
Committee of 100,36674969,New York City,2023-01-19 22:25:34,Our statement on the horrific crime that was perpetrated on the #Bloomington #Indiana student. #StopAAPIHate… https://t.co/02F4oVrpID,2,Twitter Web App,
Mariana Leung (She/her),17828554,NYC,2023-01-19 19:41:10,"Wow, closeted Proud Boys attacked NYC's Chinatown w/ a hate hissyfit and when met with resistance, continually prov… https://t.co/GVyf0hcXwN",1,Twitter for Android,
Tea Leaves,1663476272,"NYC, USA",2023-01-19 18:44:19,I appreciate @cvspharmacy for having the store manager call me. He was understanding and I hope the employee who ma… https://t.co/cmxCTrzypl,0,Twitter for iPad,
Ti-Hua Chang,48008414,New York City,2023-01-19 17:58:29,Un f-ing believable. A frail senior using a cane hit from behind and knocked to the ground. His attacker goes out o… https://t.co/XAJDUZxKkC,2,Twitter for Android,
AJC Asia,842118579608780800,"New York, NY",2023-01-17 22:07:54,An assault on an Indiana University student was allegedly motivated by race in yet another shocking attack against… https://t.co/iwf48HNKEt,1,Twitter Web App,
SIRCRONE,2509868283,New York City,2023-01-17 19:16:48,@peabojmusic1 @FightHaven Do Hispanics count as “caucasian”? Do West Asians count as “caucasian”? Do Portugeuse cou… https://t.co/n0Xa7S06jF,0,Twitter for iPhone,
Susan Lee 李翠珊,1334607534460690438,"New York, NY",2023-01-17 02:04:51,This happened in #chinatown and the only reason we know about it is because our local Chinese Newspaper… https://t.co/yt3jV576sU,10,Twitter for iPhone,
